tahun,program,kegiatan,anggaran,realisasi,serapan
2015,Kemitraan Peningkatan Pelayanan Kesehatan,Kemitraan Pengobatan Lanjutan Bagi Pasien Rujukan,458362319,442378370,0.9651281348020233
2015,Obat dan Perbekalan Kesehatan,Pengadaaan Obat Dan Perbekalan Kesehatan,11887738375,11538579881,0.970628686215514
2015,Obat dan Perbekalan Kesehatan,Pengadaan Obat Pelayanan Kesehatan Dasar (DAK),2468240000,2368847555,0.9597314503451853
2015,Obat dan Perbekalan Kesehatan,Pengadaan Obat Pelayanan Kesehatan Dasar (Pendamping DAK),502007550,454149000,0.904665676840916
2015,Pelayanan Kesehatan Dasar,Pelayanan Imunisasi Dasar,1369229787,1168181530,0.8531668979824787
2015,Pelayanan Kesehatan Dasar,Pelayanan Penderita Demam Berdarah Dengue Yang Ditangani,1024681418,905629621,0.8838157939544093
2015,Pelayanan Kesehatan Dasar,Pelayanan Pertolongan Persalinan Oleh Tenaga Kesehatan Yang Memiliki Kompetensi Kebidanan,910212330,392077250,0.4307536132805408
2015,Pelayanan Kesehatan Dasar,Pelayanan Ibu Hamil K4,606657178,592080030,0.9759713582421339
2015,Pelayanan Kesehatan Dasar,Pelayanan Balita Gizi Buruk Mendapat Perawatan,529058750,526936830,0.9959892545015085
2015,Pelayanan Kesehatan Dasar,Pemberian Makanan Pendamping Air Susu Ibu Pada Anak Usia 6-24 Bulan Keluarga Miskin,525000000,523681680,0.9974889142857143
2015,Pelayanan Kesehatan Dasar,Pelayanan Penjaringan Kesehatan Siswa SD Dan Setingkat,402655000,389066600,0.9662529957407706
2015,Pelayanan Kesehatan Dasar,Penemuan Dan Penanganan Pasien Baru TB BTA Positif,298572343,292223850,0.9787371699059213
2015,Pelayanan Kesehatan Dasar,Pelayanan Komplikasi Kebidanan Yang Ditangani,289508945,242025560,0.8359864666703131
2015,Pelayanan Kesehatan Dasar,Penemuan Dan Penanganan Acute Flacid Paralysis Rate Per 100.000 Penduduk < 15 Tahun,271499285,260049250,0.9578266476834368
2015,Pelayanan Kesehatan Dasar,Pelayanan Kesehatan Dasar Masyarakat Miskin,248075305,181311800,0.7308740384295809
2015,Pelayanan Kesehatan Dasar,Pelayanan Kesehatan Anak Balita,247553500,241879100,0.9770780861510744
2015,Pelayanan Kesehatan Dasar,Pelayanan Neonatus Dengan Komplikasi Yang Ditangani,78115070,74461720,0.9532311754953302
2015,Pelayanan Kesehatan Dasar,Pelayanan Kunjungan Bayi (Umur 29 Hari-11 Bulan),65061800,55744360,0.8567909280099844
2015,Pelayanan Kesehatan Dasar,Pelayanan Peserta Kb Aktif,36238950,28624350,0.7898780179889318
2015,Pelayanan Kesehatan Dasar,Pelayanan Nifas,36218817,36067330,0.9958174503601264
2015,Pelayanan Kesehatan Dasar,Penemuan Dan Penanganan Penderita Diare,32468635,31233600,0.9619622136871476
2015,Pelayanan Kesehatan Dasar,Penemuan Dan Penanganan Penderita Pneumonia Balita,17625308,17253200,0.9788878583001216
2015,Pelayanan Kesehatan Rujukan,Pelayanan Kesehatan Rujukan Pasien Masyarakat Miskin,77560167818,71466733390,0.921436033476634
2015,Pelayanan Kesehatan Rujukan,Jaminan Kesehatan Bagi Penerima Bantuan Iuran Provinsi Jawa Barat (Banprov),31380736800,15844802825,0.5049213129055656
2015,Pelayanan Kesehatan Rujukan,Jaminan Kesehatan Bagi Masyarakat Miskin Diluar Quota Jamkesmas (Banprov),7345827766,7167798050,0.975764512636138
2015,Pencegahan dan Penanggulangan Penyakit Menular,Penyediaan Lemari Es (Banprov),1230320000,1230320000,1
2015,Pencegahan dan Penanggulangan Penyakit Menular,Pelayanan Pencegahan Dan Penanggulangan Penyakit Menular,1037389885,855505500,0.8246711408796896
2015,Pencegahan dan Penanggulangan Penyakit Menular,Peningkatan Surveliance Epidemiologi Dan Penanggulangan Wabah (Banprov),716020000,711220000,0.9932962766403173
2015,Pencegahan dan Penanggulangan Penyakit Menular,Pengadaan Mobil ULV (Banprov),711220000,0,0
2015,Pencegahan dan Penanggulangan Penyakit Menular,Penyediaan Mesin Fogging (Banprov),656200000,656200000,1
2015,"Pengadaan, Peningkatan dan Perbaikan Sarana dan Prasarana Puskesmas/Puskesmas Pembantu dan Jaringannya",Pembangunan Puskesmas,3430836646,3202624107,0.9334819571587379
2015,"Pengadaan, Peningkatan dan Perbaikan Sarana dan Prasarana Puskesmas/Puskesmas Pembantu dan Jaringannya",Pengadaan Sarana Dan Prasarana Puskesmas,2544500000,1888819550,0.7423146197681273
2015,"Pengadaan, Peningkatan dan Perbaikan Sarana dan Prasarana Puskesmas/Puskesmas Pembantu dan Jaringannya",Rehabilitasi Puskesmas,1282088560,946712230,0.7384140686818077
2015,Pengawasan dan Pengendalian Kesehatan Makanan,Pengawasan Dan Pengendalian Keamanan Dan Kesehatan Makanan Restaurant,416345270,388700123,0.9336004297586953
2015,Pengawasan Obat dan Makanan,Peningkatan Pengawasan Keamanan Pangan Dan Bahan Berbahaya,127374050,126947050,0.9966476688148017
2015,Pengawasan Obat dan Makanan,Peningkatan Pengawasan Obat Dan Bahan Berbahaya,44696600,44671600,0.9994406733398066
2015,Pengembangan Lingkungan Sehat,Pengkajian Pengembangan Lingkungan Sehat,1718114977,1679208630,0.9773552134049059
2015,Pengembangan Lingkungan Sehat,Sosialisasi Kawasan Tanpa Asap Rokok,414720000,297075000,0.7163266782407407
2015,Pengembangan Lingkungan Sehat,Pembangunan Instalasi Pengolahan Limbah (Banprov),78406250,78406250,1
2015,Peningkatan Pelayanan Kesehatan Lansia,Pelayanan Kesehatan,213966156,199977930,0.9346241187788595
2015,Penyelidikan Epidemiologi dan Penanggulangan Kejadian Luar Biasa,Penyelidikan Epidemiologi Dan Penanggulangan Kejadian Luar Biasa,580980109,570207120,0.9814572154311052
2015,"Perencanaan, Pengembangan dan Evaluasi Pembangunan Kesehatan",Pengembangan Data Dan Informasi Pembangunan Kesehatan,8130019800,7224248648,0.8885893055266606
2015,"Perencanaan, Pengembangan dan Evaluasi Pembangunan Kesehatan",Perencanaan Pembangunan Kesehatan,546982500,485843390,0.8882247421078371
2015,"Perencanaan, Pengembangan dan Evaluasi Pembangunan Kesehatan",Evaluasi Dan Pelaporan Pembangunan Kesehatan,280470000,269048540,0.959277427175812
2015,Promosi Kesehatan dan Pemberdayaan Masyarakat,Promosi Kesehatan Dan Kelurahan Siaga Aktif,623323200,497981620,0.7989139823449536
2015,Standarisasi Pelayanan Kesehatan,Penyusunan Standar Pelayanan Kesehatan,797808700,513058884,0.6430850954621077
2015,Upaya Kesehatan Masyarakat,Penyediaan Biaya Operasional Dan Pemeliharaan,88244325836,42367431352,0.4801150776622043
2015,Upaya Kesehatan Masyarakat,Pembinaan Pelayanan Sarana Kesehatan Dasar Swasta,9444679614,7995194375,0.8465289138181665
2015,Upaya Kesehatan Masyarakat,Pengadaan Dental Unit (Banprov),494908900,494908900,1
2015,Upaya Kesehatan Masyarakat,Pembinaan Keluarga Rawan,461990200,449127200,0.9721574180577857
2015,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Matra,366050000,319590000,0.873077448436006
2015,Upaya Kesehatan Masyarakat,Pelayanan Pencegahan Dan Penanggulangan Penyakit Tidak Menular,183527953,168972470,0.9206906481433921
2015,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Gigi Dan Mulut,95173000,94749600,0.9955512592857217
2015,Upaya Kesehatan Masyarakat,Pelayanan Penjaringan Kesehatan Siswa SMP/SMA Dan Setingkat,65889000,65675500,0.996759701922931
2015,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Jiwa,65889000,63917200,0.9700739121856455
2015,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Tradisional,63210000,61504000,0.9730105995886726
2015,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Indera,58568000,58402000,0.9971656877475754
2015,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Anak Berkebutuhan Khusus,51247000,42588850,0.8310505980837902
2015,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Kerja,46889000,42059500,0.8970014289065665
2015,Upaya Kesehatan Masyarakat,Pelayanan Kesehatan Olahraga,25623500,25030000,0.9768376685464515
